Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
PPP2CB	PP2Abeta	ENSG00000104695	"Protein phosphatase 2 catalytic subunit beta"	P62714	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Low tissue specificity"	137	Nucleoplasm
PPP2R1A	"PP2A-Aalpha, PP2AA, PR65A"	ENSG00000105568	"Protein phosphatase 2 scaffold subunit Aalpha"	P30153	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Chromosome partition, Host-virus interaction"		"Evidence at protein level"	"Low tissue specificity"	271	Cytosol
PPP2R1B	"PP2A-Abeta, PR65B"	ENSG00000137713	"Protein phosphatase 2 scaffold subunit Abeta"	P30154	"Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	79	"Plasma membrane, Cytosol"
PPP2R2A	"B55A, B55alpha, PR52A, PR55A, PR55alpha"	ENSG00000221914	"Protein phosphatase 2 regulatory subunit Balpha"	P63151	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	67	Cytosol
PPP2R2D	"B55D, B55delta, MDS026"	ENSG00000175470	"Protein phosphatase 2 regulatory subunit Bdelta"	Q66LE6	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"		"Evidence at protein level"	"Tissue enhanced"	87	Cytosol
PPP2R3A	"PPP2R3, PR130, PR72"	ENSG00000073711	"Protein phosphatase 2 regulatory subunit B''alpha"	Q06190	"Predicted intracellular proteins"			"Evidence at protein level"	"Group enriched"	9	"Golgi apparatus"
PPP2R3B	"PPP2R3L, PPP2R3LY, PR48, PR70"	ENSG00000167393	"Protein phosphatase 2 regulatory subunit B''beta"	Q9Y5P8	"Predicted intracellular proteins"			"Evidence at protein level"	"Group enriched"	16	Nucleoplasm
PPP2R3C	"C14orf10, FLJ20644, G4-1, G5PR"	ENSG00000092020	"Protein phosphatase 2 regulatory subunit B''gamma"	Q969Q6	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	17	Nucleoplasm
PPP2R5A	"B56A, B56alpha, PR61A"	ENSG00000066027	"Protein phosphatase 2 regulatory subunit B'alpha"	Q15172	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	51	Cytosol
PPP2R5B	"B56B, B56beta, FLJ35411, PR61B"	ENSG00000068971	"Protein phosphatase 2 regulatory subunit B'beta"	Q15173	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enriched"	12	
PPP2R5C	"B56G, B56gamma, PR61G"	ENSG00000078304	"Protein phosphatase 2 regulatory subunit B'gamma"	Q13362	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	28	"Nucleoplasm, Cytosol"
PPP2R5D	"B56D, B56delta"	ENSG00000112640	"Protein phosphatase 2 regulatory subunit B'delta"	Q14738	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	26	Cytosol
PPP2R5E	"B56E, B56epsilon"	ENSG00000154001	"Protein phosphatase 2 regulatory subunit B'epsilon"	Q16537	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	34	Cytosol
PPP3CA	"CALN, CALNA, CNA1, PPP2B"	ENSG00000138814	"Protein phosphatase 3 catalytic subunit alpha"	Q08209	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Calmodulin-binding, Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Tissue enhanced"	31	Cytosol
PPP3CB	"CALNA2, CALNB, CNA2, PP2Bbeta"	ENSG00000107758	"Protein phosphatase 3 catalytic subunit beta"	P16298	"Enzymes, Predicted intracellular proteins"		"Calmodulin-binding, Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Tissue enhanced"	21	Cytosol
PPP3CC	"CALNA3, PP2Bgamma"	ENSG00000120910	"Protein phosphatase 3 catalytic subunit gamma"	P48454	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"Calmodulin-binding, Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Low tissue specificity"	13	Cytosol
PPP3R1	"CALNB1, CNB, CNB1"	ENSG00000221823	"Protein phosphatase 3 regulatory subunit B, alpha"	P63098	"FDA approved drug targets, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	21	"Plasma membrane"
PPP4C	"PP4, PPX"	ENSG00000149923	"Protein phosphatase 4 catalytic subunit"	P60510	"Enzymes, Essential proteins, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Low tissue specificity"	93	Nucleoplasm
PPP4R1	PP4R1	ENSG00000154845	"Protein phosphatase 4 regulatory subunit 1"	Q8TF05	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	14	"Plasma membrane, Cytosol"
PPP4R2		ENSG00000163605	"Protein phosphatase 4 regulatory subunit 2"	Q9NY27	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	57	Nucleoplasm
PPP4R3A	"FLFL1, FLJ20707, KIAA2010, MSTP033, PP4R3, SMEK1, smk-1, smk1"	ENSG00000100796	"Protein phosphatase 4 regulatory subunit 3A"	Q6IN85	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	31	Nucleoplasm
PPP4R3B	"FLFL2, FLJ31474, KIAA1387, PSY2, SMEK2"	ENSG00000275052	"Protein phosphatase 4 regulatory subunit 3B"	Q5MIZ7	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	8	"Nucleoplasm, Nuclear speckles"
PPP5C	"PP5, PPP5"	ENSG00000011485	"Protein phosphatase 5 catalytic subunit"	P53041	"Enzymes, Predicted intracellular proteins"	"DNA damage, DNA repair"	"Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Low tissue specificity"	62	"Vesicles, Cytosol"
PPP6C	PP6	ENSG00000119414	"Protein phosphatase 6 catalytic subunit"	O00743	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Cell cycle, Immunity, Innate immunity"	"Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Low tissue specificity"	59	
PPP6R1	"KIAA1115, SAP190, SAPS1"	ENSG00000105063	"Protein phosphatase 6 regulatory subunit 1"	Q9UPN7	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	50	Cytosol
PPP6R2	"dJ579N16.1, KIAA0685, SAP190, SAPS2"	ENSG00000100239	"Protein phosphatase 6 regulatory subunit 2"	O75170	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	22	Cytosol
PPP6R3	"C11orf23, DKFZp781E17107, DKFZp781E2374, DKFZp781O2362, FLJ11058, FLJ43065, KIAA1558, MGC125711, MGC125712, PP6R3, SAP190, SAPL, SAPLa, SAPS3"	ENSG00000110075	"Protein phosphatase 6 regulatory subunit 3"	Q5H9R7	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	30	"Nucleoplasm, Plasma membrane, Cytosol"
PPRC1	"KIAA0595, MGC74642, PRC"	ENSG00000148840	"PPARG related coactivator 1"	Q5VV67	"Essential proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Activator, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"		Nucleoplasm
PPT1	"CLN1, INCL, PPT"	ENSG00000131238	"Palmitoyl-protein thioesterase 1"	P50897	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Sensory transduction, Vision"	Hydrolase	"Evidence at protein level"	"Low tissue specificity"	31	"Golgi apparatus, Vesicles"
PPT2		ENSG00000221988	"Palmitoyl-protein thioesterase 2"	Q9UMR5	"Metabolic proteins, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"		"Golgi apparatus, Vesicles"
PPTC7	TA-PP2C	ENSG00000196850	"Protein phosphatase targeting COQ7"	Q8NI37	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"	"Evidence at protein level"	"Tissue enhanced"	27	"Plasma membrane, Cytosol"
PPWD1	KIAA0073	ENSG00000113593	"Peptidylprolyl isomerase domain and WD repeat containing 1"	Q96BP3	"Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Isomerase, Rotamase"	"Evidence at protein level"	"Low tissue specificity"	13	"Nuclear bodies"
PQBP1	"MRX2, MRX55, MRXS3, MRXS8, RENS1, SHS"	ENSG00000102103	"Polyglutamine binding protein 1"	O60828	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Immunity, Innate immunity, mRNA processing, mRNA splicing, Transcription, Transcription regulation"		"Evidence at protein level"	"Low tissue specificity"	31	"Nucleoplasm, Nuclear speckles, Primary cilium"
PRADC1	"C2orf7, hPAP21, MGC13004, PAP21"	ENSG00000135617	"Protease associated domain containing 1"	Q9BSG0	"Predicted secreted proteins"			"Evidence at protein level"	"Tissue enhanced"	1	
PRAF2	"JM4, Yip6a"	ENSG00000243279	"PRA1 domain family member 2"	O60831	"Predicted membrane proteins, Transporters"	"Protein transport, Transport"		"Evidence at protein level"	"Tissue enhanced"	40	"Endoplasmic reticulum"
PRAG1	"DKFZp761P0423, NACK, PEAK2, PRAGMIN, SgK223"	ENSG00000275342	"PEAK1 related, kinase-activating pseudokinase 1"	Q86YV5	"Enzymes, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	6	Nucleoli
PRAMEF9		ENSG00000204505	"PRAME family member 9"		"Predicted intracellular proteins"			"Evidence at transcript level"	"Tissue enriched"		
PRC1	ASE1	ENSG00000198901	"Protein regulator of cytokinesis 1"	O43663	"Essential proteins, Predicted intracellular proteins"	"Cell cycle, Cell division"		"Evidence at protein level"	"Tissue enhanced"	35	"Microtubules, Cytokinetic bridge, Midbody"
PRCC	RCCP1	ENSG00000143294	"Proline rich mitotic checkpoint control factor"	Q92733	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle"		"Evidence at protein level"	"Low tissue specificity"	7	"Nuclear speckles"
PRCP	"HUMPCP, PCP"	ENSG00000137509	Prolylcarboxypeptidase	P42785	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Protease"	"Evidence at protein level"	"Low tissue specificity"	7	Vesicles
PRDM1	"BLIMP1, PRDI-BF1"	ENSG00000057657	"PR/SET domain 1"	O75626	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Adaptive immunity, Immunity, Innate immunity, Transcription, Transcription regulation"	"DNA-binding, Methyltransferase, Repressor, Transferase"	"Evidence at protein level"	"Tissue enhanced"	15	Nucleoli
PRDM10	"KIAA1231, MGC131802, PFM7"	ENSG00000170325	"PR/SET domain 10"	Q9NQV6	"Essential proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	2	Nucleoplasm
PRDM11	PFM8	ENSG00000019485	"PR/SET domain 11"	Q9NQV5	"Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	1	
PRDM15	"C21orf83, ZNF298"	ENSG00000141956	"PR/SET domain 15"	P57071	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Methyltransferase, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	7	"Nuclear bodies"
PRDM2	"HUMHOXY1, KMT8, KMT8A, MTB-ZF, RIZ, RIZ1, RIZ2"	ENSG00000116731	"PR/SET domain 2"	Q13029	"Enzymes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	7	"Nucleoplasm, Golgi apparatus"
PRDM4	PFM1	ENSG00000110851	"PR/SET domain 4"	Q9UKN5	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	3	Nucleoplasm
PRDM5	PFM2	ENSG00000138738	"PR/SET domain 5"	Q9NQX1	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Chromatin regulator, DNA-binding, Methyltransferase, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	3	"Nucleoli, Nuclear bodies"
PRDM8	KMT8D	ENSG00000152784	"PR/SET domain 8"	Q9NQV8	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"DNA-binding, Methyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"		"Nuclear bodies"
PRDX1	"NKEFA, PAGA"	ENSG00000117450	"Peroxiredoxin 1"	Q06830	"Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Antioxidant, Oxidoreductase, Peroxidase"	"Evidence at protein level"	"Low tissue specificity"	59	Mitochondria
PRDX2	"MGC4104, NKEFB, PRP, PRX2, PRXII, TDPX1, TSA"	ENSG00000167815	"Peroxiredoxin 2"	P32119	"Cancer-related genes, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Antioxidant, Oxidoreductase, Peroxidase"	"Evidence at protein level"	"Low tissue specificity"	50	Cytosol
PRDX3	"AOP-1, AOP1, MER5, SP-22"	ENSG00000165672	"Peroxiredoxin 3"	P30048	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Antioxidant, Oxidoreductase, Peroxidase"	"Evidence at protein level"	"Low tissue specificity"	26	"Vesicles, Mitochondria"
PRDX4	AOE37-2	ENSG00000123131	"Peroxiredoxin 4"	Q13162	"Cancer-related genes, Enzymes, Predicted intracellular proteins"		"Antioxidant, Oxidoreductase, Peroxidase"	"Evidence at protein level"	"Tissue enriched"	31	"Endoplasmic reticulum"
PRDX5	"ACR1, AOEB166, B166, MGC117264, MGC142283, MGC142285, PLP, PMP20, PRDX6, PRXV, SBBI10"	ENSG00000126432	"Peroxiredoxin 5"	P30044	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Antioxidant, Oxidoreductase, Peroxidase"	"Evidence at protein level"	"Tissue enhanced"	17	Mitochondria
PRDX6	"1-Cys, aiPLA2, AOP2, KIAA0106, MGC46173, NSGPx, p29, PRX"	ENSG00000117592	"Peroxiredoxin 6"	P30041	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid degradation, Lipid metabolism"	"Antioxidant, Hydrolase, Multifunctional enzyme, Oxidoreductase, Peroxidase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	38	"Plasma membrane, Cytosol"
PREB	SEC12	ENSG00000138073	"Prolactin regulatory element binding"	Q9HCU5	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"ER-Golgi transport, Protein transport, Transcription, Transcription regulation, Transport"	"Activator, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	30	"Endoplasmic reticulum"
PRELID1	"CGI-106, PRELI, PX19"	ENSG00000169230	"PRELI domain containing 1"	Q9Y255	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Apoptosis, Lipid transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	12	Mitochondria
PRELID3A	"C18orf43, FLJ31484, HFL-EDDG1, SLMO1"	ENSG00000141391	"PRELI domain containing 3A"	Q96N28	"Predicted intracellular proteins"	"Lipid transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	2	
PRELID3B	"C20orf45, dJ543J19.5, SLMO2"	ENSG00000101166	"PRELI domain containing 3B"	Q9Y3B1	"Essential proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	4	Nucleoplasm
PRELP	"prolargin, SLRR2A"	ENSG00000188783	"Proline and arginine rich end leucine rich repeat protein"	P51888	"Plasma proteins, Predicted secreted proteins"		Heparin-binding	"Evidence at protein level"	"Tissue enhanced"	11	"Endoplasmic reticulum"
PREP		ENSG00000085377	"Prolyl endopeptidase"	P48147	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"	"Low tissue specificity"	3	Cytosol
PREPL	KIAA0436	ENSG00000138078	"Prolyl endopeptidase like"	Q4J6C6	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"	"Low tissue specificity"	8	
PREX1	"KIAA1415, P-REX1"	ENSG00000124126	"Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"	Q8TCU6	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Evidence at protein level"	"Tissue enhanced"	13	"Vesicles, Cytosol"
PREX2	"DEP.2, DEPDC2, FLJ12987, P-REX2, PPP1R129"	ENSG00000046889	"Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"	Q70Z35	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Evidence at protein level"	"Low tissue specificity"	3	"Endoplasmic reticulum"
PRF1	"HPLH2, P1, PFP"	ENSG00000180644	"Perforin 1"	P14222	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	Cytolysis		"Evidence at protein level"	"Group enriched"	32	Cytosol
PRG4	"bG174L6.2, CACP, FLJ32635, HAPO, JCAP, MSF, SZP"	ENSG00000116690	"Proteoglycan 4"	Q92954	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"			"Evidence at protein level"	"Tissue enhanced"		
PRICKLE1	"EPM1B, FLJ31937, RILP"	ENSG00000139174	"Prickle planar cell polarity protein 1"	Q96MT3	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	4	Nucleoplasm
PRICKLE2	DKFZp686D143	ENSG00000163637	"Prickle planar cell polarity protein 2"	Q7Z3G6	"Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		"Golgi apparatus"
PRICKLE3	LMO6	ENSG00000012211	"Prickle planar cell polarity protein 3"	O43900	"Disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation"	"Developmental protein"	"Evidence at protein level"	"Low tissue specificity"	19	
PRICKLE4	"C6orf49, DKFZp761H221, OEBT"	ENSG00000278224	"Prickle planar cell polarity protein 4"	Q2TBC4	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	1	"Centriolar satellite"
PRIM1		ENSG00000198056	"DNA primase subunit 1"	P49642	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"DNA replication, Transcription"	"Nucleotidyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	21	
PRIM2	PRIM2A	ENSG00000146143	"DNA primase subunit 2"	P49643	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"DNA replication"	DNA-binding	"Evidence at protein level"	"Tissue enhanced"	20	Nucleoplasm
PRIMPOL	"CCDC111, FLJ33167"	ENSG00000164306	"Primase and DNA directed polymerase"	Q96LW4	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair, Transcription"	"DNA-directed DNA polymerase, Nucleotidyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	9	Cytosol
PRKAA1	AMPKa1	ENSG00000132356	"Protein kinase AMP-activated catalytic subunit alpha 1"	Q13131	"Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Autophagy, Biological rhythms, Cholesterol biosynthesis, Cholesterol metabolism, Fatty acid biosynthesis, Fatty acid metabolism, Host-virus interaction, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism, Transcription, Transcription regulation, Wnt signaling pathway"	"Chromatin regulator, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	90	"Nuclear speckles"
PRKAA2	"AMPK, AMPKa2, PRKAA"	ENSG00000162409	"Protein kinase AMP-activated catalytic subunit alpha 2"	P54646	"Enzymes, FDA approved drug targets, Predicted membrane proteins, Transporters"	"Autophagy, Biological rhythms, Cholesterol biosynthesis, Cholesterol metabolism, Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism, Transcription, Transcription regulation, Wnt signaling pathway"	"Chromatin regulator, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	120	"Nuclear speckles"
PRKAB1		ENSG00000111725	"Protein kinase AMP-activated non-catalytic subunit beta 1"	Q9Y478	"FDA approved drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"		"Evidence at protein level"	"Low tissue specificity"	31	Cytosol
PRKAB2		ENSG00000131791	"Protein kinase AMP-activated non-catalytic subunit beta 2"	O43741	"FDA approved drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"		"Evidence at protein level"	"Tissue enhanced"	221	Nucleoplasm
PRKACA	PKACa	ENSG00000072062	"Protein kinase cAMP-activated catalytic subunit alpha"	P17612	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	158	Cytosol
PRKACB	PKACb	ENSG00000142875	"Protein kinase cAMP-activated catalytic subunit beta"	P22694	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	34	Cytosol
PRKAG1		ENSG00000181929	"Protein kinase AMP-activated non-catalytic subunit gamma 1"	P54619	"FDA approved drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"		"Evidence at protein level"	"Low tissue specificity"	49	"Nuclear bodies, Cytosol"
PRKAG2	"AAKG, AAKG2, CMH6, H91620p, WPWS"	ENSG00000106617	"Protein kinase AMP-activated non-catalytic subunit gamma 2"	Q9UGJ0	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"		"Evidence at protein level"	"Tissue enhanced"	9	Nucleoplasm
PRKAG3		ENSG00000115592	"Protein kinase AMP-activated non-catalytic subunit gamma 3"	Q9UGI9	"FDA approved drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"		"Evidence at protein level"	"Tissue enriched"	30	Mitochondria
PRKAR1A	"CNC1, PRKAR1, TSE1"	ENSG00000108946	"Protein kinase cAMP-dependent type I regulatory subunit alpha"	P10644	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	67	Cytosol
PRKAR1B		ENSG00000188191	"Protein kinase cAMP-dependent type I regulatory subunit beta"	P31321	"Disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enriched"	83	
PRKAR2A	PRKAR2	ENSG00000114302	"Protein kinase cAMP-dependent type II regulatory subunit alpha"	P13861	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	71	"Centriolar satellite, Basal body, Mid piece"
PRKAR2B	PRKAR2	ENSG00000005249	"Protein kinase cAMP-dependent type II regulatory subunit beta"	P31323	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	41	"Golgi apparatus, Centrosome, Basal body, Cytosol"
PRKCA	"PKCA, PKCalpha"	ENSG00000154229	"Protein kinase C alpha"	P17252	"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Angiogenesis, Apoptosis, Cell adhesion"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	121	Cytosol
PRKCD		ENSG00000163932	"Protein kinase C delta"	Q05655	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins"	"Apoptosis, Cell cycle"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	47	Cytosol
PRKCE		ENSG00000171132	"Protein kinase C epsilon"	Q02156	"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Cell adhesion, Cell cycle, Cell division, Immunity"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	30	"Intermediate filaments, Cytosol"
PRKCH	"PKC-L, PKCL, PRKCL"	ENSG00000027075	"Protein kinase C eta"	P24723	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	Differentiation	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"		Cytosol
PRKCI	"DXS1179E, PKCI"	ENSG00000163558	"Protein kinase C iota"	P41743	"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	67	Cytosol
PRKCQ		ENSG00000065675	"Protein kinase C theta"	Q04759	"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Immunity, Inflammatory response"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Group enriched"	21	"Centriolar satellite"
PRKCSH	"G19P1, GIIB, PCLD, PLD1, VASAP-60"	ENSG00000130175	"Protein kinase C substrate 80K-H"	P14314	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	33	"Endoplasmic reticulum"
PRKD2	"DKFZP586E0820, HSPC187, PKD2"	ENSG00000105287	"Protein kinase D2"	Q9BZL6	"Enzymes, Predicted intracellular proteins"	"Adaptive immunity, Angiogenesis, Cell adhesion, Immunity"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	29	Nucleoplasm
PRKD3	"EPK2, PRKCN"	ENSG00000115825	"Protein kinase D3"	O94806	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	4	"Plasma membrane, Cytosol"
PRKDC	"DNA-PKC, DNA-PKcs, DNAPK, DNAPKc, DNPK1, HYRC, HYRC1, p350, p460, XRCC7"	ENSG00000253729	"Protein kinase, DNA-activated, catalytic subunit"	P78527	"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Biological rhythms, DNA damage, DNA recombination, DNA repair, Immunity, Innate immunity, Ribosome biogenesis"	"DNA-binding, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	185	Nucleoplasm
